,Order_ID,Product,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
10,ORD-146364,Almond Crunch Bar,2022-01-01,10.8,2.82,32.26,242,682.4399999999999
31,ORD-083346,70% Dark Bar,2022-01-01,19.3,3.81,77.50923076923077,333,1268.73
45,ORD-146687,Almond Crunch Bar,2022-01-01,17.3,3.49,70.59,262,914.3800000000001
68,ORD-145143,85% Dark Bar,2022-01-01,6.4,3.22,59.35,166,534.52
77,ORD-049839,Milk Classic Bar,2022-01-01,22.3,2.72,45.7,272,739.84
93,ORD-014208,70% Dark Bar,2022-01-01,18.0,16.37,125.98,119,1948.0300000000002
102,ORD-172875,70% Dark Bar,2022-01-01,22.3,3.43,122.07,273,936.3900000000001
126,ORD-085631,Truffle Gift Box,2022-01-01,6.6,2.72,161.81,361,981.9200000000001
129,ORD-075418,85% Dark Bar,2022-01-01,11.3,2.68,80.94,267,715.5600000000001
153,ORD-085808,70% Dark Bar,2022-01-01,12.7,3.04,137.09,211,641.44
173,ORD-131428,Truffle Gift Box,2022-01-01,18.6,17.92,21.8,80,1433.6000000000001
181,ORD-166435,Hazelnut Milk Bar,2022-01-01,7.5,18.44,220.37,75,1383.0
193,ORD-010534,Truffle Gift Box,2022-01-01,5.6,3.67,103.52,338,1240.46
204,ORD-048847,85% Dark Bar,2022-01-01,12.9,3.84,141.94,205,787.1999999999999
219,ORD-116757,Mixed Assortment Box,2022-01-01,17.7,16.99,168.18,200,3397.9999999999995
222,ORD-165757,70% Dark Bar,2022-01-01,6.9,2.51,104.34,324,813.2399999999999
228,ORD-188055,70% Dark Bar,2022-01-01,14.3,3.22,41.92,180,579.6
229,ORD-162326,Truffle Gift Box,2022-01-01,10.9,3.02,85.76,323,975.46
231,ORD-079102,Mint Dark Bar,2022-01-01,13.3,3.04,109.93,190,577.6
236,ORD-034510,70% Dark Bar,2022-01-01,18.7,3.05,90.75,242,738.0999999999999
