,Order_ID,Product,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
0,ORD-148232,Milk Classic Bar,2022-01-01,11.7,17.89,51.09,24,429.36
20,ORD-124065,Truffle Gift Box,2022-01-01,23.9,3.89,73.73,208,809.12
175,ORD-144731,Truffle Gift Box,2022-01-01,18.3,2.95,156.61,394,1162.3000000000002
191,ORD-163727,Hazelnut Milk Bar,2022-01-01,15.3,3.42,90.18,228,779.76
221,ORD-129024,Truffle Gift Box,2022-01-01,21.6,2.73,30.78,267,728.91
257,ORD-134801,85% Dark Bar,2022-01-01,21.1,2.99,52.24,160,478.40000000000003
265,ORD-010823,Mixed Assortment Box,2022-01-02,18.8,3.24,60.48,291,942.84
269,ORD-140634,70% Dark Bar,2022-01-02,11.2,3.02,384.56,237,715.74
274,ORD-186709,Choco Coins Bag,2022-01-02,22.2,12.55,47.98,66,828.3000000000001
329,ORD-009354,70% Dark Bar,2022-01-02,9.5,3.29,250.14,260,855.4
332,ORD-070867,85% Dark Bar,2022-01-02,10.5,3.32,150.95,111,368.52
346,ORD-066821,Mixed Assortment Box,2022-01-02,11.8,19.83,91.6,87,1725.2099999999998
361,ORD-112239,Choco Coins Bag,2022-01-02,17.0,17.9,182.67,91,1628.8999999999999
448,ORD-030693,Truffle Gift Box,2022-01-02,10.1,3.33,47.83,204,679.32
493,ORD-033029,Milk Classic Bar,2022-01-02,9.5,2.95,64.5,111,327.45000000000005
502,ORD-127213,Pralines Gift Box,2022-01-02,13.9,3.79,22.51,93,352.47
514,ORD-094199,Truffle Gift Box,2022-01-02,21.8,2.95,36.24,402,1185.9
623,ORD-049716,70% Dark Bar,2022-01-03,9.0,14.37,35.71,31,445.46999999999997
630,ORD-139578,70% Dark Bar,2022-01-03,2.3,3.6,107.25,131,471.6
678,ORD-169936,Truffle Gift Box,2022-01-03,23.7,3.75,249.12,258,967.5
683,ORD-105005,70% Dark Bar,2022-01-03,16.0,2.99,89.43,159,475.41
824,ORD-027225,70% Dark Bar,2022-01-04,6.3,2.91,59.27,98,285.18
893,ORD-187477,Mint Dark Bar,2022-01-04,25.8,3.38,54.6,116,392.08
920,ORD-090856,Truffle Gift Box,2022-01-04,10.2,3.27,111.9,261,853.47
967,ORD-123436,Pralines Gift Box,2022-01-04,7.34,14.54,121.39,50,727.0
1009,ORD-062332,Salted Caramel Bar,2022-01-04,3.2,3.39,137.72,121,410.19
1039,ORD-066205,Truffle Gift Box,2022-01-04,12.5,2.76,72.53,214,590.64
1053,ORD-129736,Truffle Gift Box,2022-01-04,9.7,4.13,45.1,149,615.37
1067,ORD-152234,Salted Caramel Bar,2022-01-04,25.6,3.06,143.15,313,957.78
1091,ORD-056581,Choco Coins Bag,2022-01-04,18.13,3.41,117.41,215,733.15
1100,ORD-097321,70% Dark Bar,2022-01-04,18.6,2.52,51.3,119,299.88
1149,ORD-141769,Truffle Gift Box,2022-01-05,25.4,11.24,142.65,110,1236.4
1160,ORD-092027,Mixed Assortment Box,2022-01-05,6.1,3.31,27.89,154,509.74
1196,ORD-065377,70% Dark Bar,2022-01-05,1.8,12.27,163.03,79,969.3299999999999
1202,ORD-164197,70% Dark Bar,2022-01-05,12.1,17.67,54.99,27,477.09000000000003
1254,ORD-015500,70% Dark Bar,2022-01-05,19.2,12.07,93.8,56,675.9200000000001
1310,ORD-121108,70% Dark Bar,2022-01-05,17.1,2.83,143.23,163,461.29
1322,ORD-095717,Mixed Assortment Box,2022-01-05,15.68,2.55,109.41,459,1170.4499999999998
1389,ORD-186516,Truffle Gift Box,2022-01-06,12.1,2.96,219.44,254,751.84
1426,ORD-190083,70% Dark Bar,2022-01-06,13.2,4.1,140.56,150,615.0
1436,ORD-165736,Truffle Gift Box,2022-01-06,6.6,2.77,84.23,197,545.69
1486,ORD-135739,70% Dark Bar,2022-01-06,21.7,2.75,71.42,157,431.75
1495,ORD-130421,70% Dark Bar,2022-01-06,13.9,3.23,67.31,158,510.34
1540,ORD-068092,Truffle Gift Box,2022-01-06,18.19,3.69,128.08,193,712.17
1639,ORD-065283,Mint Dark Bar,2022-01-06,24.9,3.0,83.86,178,534.0
1671,ORD-071139,70% Dark Bar,2022-01-06,24.9,2.86,115.74,197,563.42
1725,ORD-166410,Almond Crunch Bar,2022-01-07,28.3,2.69,32.96,181,486.89
1737,ORD-113957,70% Dark Bar,2022-01-07,10.3,3.38,70.59,121,408.97999999999996
1748,ORD-196755,70% Dark Bar,2022-01-07,3.2,3.48,21.26,113,393.24
1749,ORD-031660,Milk Classic Bar,2022-01-07,20.3,3.68,17.19,62,228.16
1863,ORD-026020,Mixed Assortment Box,2022-01-07,25.2,2.97,101.4,288,855.36
1881,ORD-058280,70% Dark Bar,2022-01-07,12.0,3.26,89.22,136,443.35999999999996
1968,ORD-010651,70% Dark Bar,2022-01-07,8.0,3.4,99.07,137,465.8
1973,ORD-066351,Pralines Gift Box,2022-01-07,14.5,2.46,91.29,190,467.4
2014,ORD-149886,Pralines Gift Box,2022-01-07,16.5,3.7,26.7,68,251.60000000000002
2054,ORD-051732,Truffle Gift Box,2022-01-08,17.9,4.09,193.65,252,1030.68
2078,ORD-107104,Mixed Assortment Box,2022-01-08,12.1,17.18,191.15,191,3281.38
2088,ORD-093921,White Choco Bar,2022-01-08,6.0,12.64,20.6,24,303.36
