,Order_ID,Product,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
3,ORD-154886,70% Dark Bar,2022-01-01,3.3,3.41,122.52,161,549.01
12,ORD-041051,Truffle Gift Box,2022-01-01,6.78,4.03,134.17,192,773.76
14,ORD-195982,Almond Crunch Bar,2022-01-01,9.9,3.36,63.79,220,739.1999999999999
26,ORD-121078,70% Dark Bar,2022-01-01,6.9,10.9,99.73,70,763.0
43,ORD-105305,Truffle Gift Box,2022-01-01,16.0,3.56,164.67,239,850.84
50,ORD-049590,85% Dark Bar,2022-01-01,18.9,4.32,40.68,160,691.2
69,ORD-086794,70% Dark Bar,2022-01-01,15.6,3.15,28.4,97,305.55
76,ORD-051314,70% Dark Bar,2022-01-01,17.3,3.07,58.76,217,666.1899999999999
79,ORD-101479,70% Dark Bar,2022-01-01,9.4,3.4,88.26,235,799.0
89,ORD-160958,Truffle Gift Box,2022-01-01,15.6,4.01,304.59,157,629.5699999999999
91,ORD-116028,70% Dark Bar,2022-01-01,14.8,3.31,105.4,220,728.2
96,ORD-001027,70% Dark Bar,2022-01-01,31.7,10.83,98.44,129,1397.07
108,ORD-046726,Almond Crunch Bar,2022-01-01,13.0,2.44,48.56,234,570.96
109,ORD-044282,White Choco Bar,2022-01-01,12.6,3.22,22.8,103,331.66
110,ORD-033658,70% Dark Bar,2022-01-01,4.2,3.12,199.50195611889728,156,486.72
115,ORD-144825,70% Dark Bar,2022-01-01,8.7,3.27,32.66,109,356.43
124,ORD-161958,70% Dark Bar,2022-01-01,5.7,2.87,43.09,107,307.09000000000003
125,ORD-156934,Choco Coins Bag,2022-01-01,19.5,3.06,78.8,309,945.54
130,ORD-092881,70% Dark Bar,2022-01-01,17.9,2.49,85.74,249,620.0100000000001
131,ORD-014102,70% Dark Bar,2022-01-01,19.8,3.24,90.28,205,664.2
138,ORD-193476,Mixed Assortment Box,2022-01-01,14.6,2.77,24.63,211,584.47
148,ORD-104591,Almond Crunch Bar,2022-01-01,18.0,3.18,84.11,276,877.6800000000001
159,ORD-111344,70% Dark Bar,2022-01-01,5.8,3.51,67.7,122,428.21999999999997
162,ORD-199229,Truffle Gift Box,2022-01-01,5.4,17.16,16.32,29,497.64
182,ORD-075463,Truffle Gift Box,2022-01-01,5.9,2.68,34.66,185,495.8
184,ORD-176051,Pralines Gift Box,2022-01-01,14.5,3.31,28.55,109,360.79
186,ORD-171516,Truffle Gift Box,2022-01-01,11.6,17.79,157.95,108,1921.32
